"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"2630","0","0.0702819226791484","0","","0.171324550990271","0","0.281323582385124","0","0","0.202386309736942","0","0.104374483309051","0.176895950261755","","0","0.0835353257228701","0","0.144766437728986","0","0.205557663540206","0","0.106403133095664","0","0","0","0.18546687260844","0","0.0819999867511244","0.0528813264424594","0.257072570330184","0.23242259485816","","0.123252414977398","0","0.0764645705488601","0.10128624318528","0.0615045739763496","0","0"
"2652","0","0","0","0","0","0","0","0","","0","0.0475277918538677","0","0","0","0.0415155390572389","0","0","0.0468958963547686","0","0","0.184560602323514","0.110905540525887","0.197865782655733","0","0","0","0.0904257218813032","0","0","0","0","0","0","0","0.0743102054217347","0","0","0","0"
"2654","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2657","0.138711016449446","0.0680501790189448","0","0.204111266931108","0.0607625625436045","0.24617726599336","0.188442585570926","0.0723452698862335","0.068218335741329","0.0508866966544491","0.0508093467048796","0","0.0739169363724183","0.12736208776925","0.156980947902721","0.277434616745577","0.0551535479713926","0.261376908421263","0.0526373030924043","","0","0","0.0881364246742419","0.260846302121112","0.112142091377145","","0.0805576357694152","","0.422987151747734","0.181079521065234","0.108944176606442","0.208485866568552","0","","0.134432219715342","0.0867363567156102","0.0633974637407761","0","0.300097384430351"
"2697","0","0.126004447057719","","0.0587649812684705","0.223255910543671","0.0672073582361156","0","0","0","0","0","0.0935635264016044","0","0","0","0","0.135098050034026","0","0.0644672670063067","0","0.0402744252597213","0.0726047192071243","0","0","0","0","0.0789300410080183","0","0.0541257632075992","0","0","0","0","0","0","0","0.273908348960456","0.125452361255042","0.0705750910388678"
"2701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2710","0","0.0962374860905087","0","0","0","0.051330467729169","0","0","0","0.069679479086411","0","0","0.103714444119584","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0.144526267411571","0.0772472736794528","0","0.118768647822386","0","0","0.134756540360005"
"2761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2773","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2784","0.0980835003566818","0.0962374860905087","0.0687216799765158","0","0.0644484300252817","0.167737026836604","0","0.074884468694726","0.0723564717059316","0.069679479086411","0","0","0.16251500694224","0.0599237661378394","0.117685491310975","0","0.0584991716656038","0","0.055830290940016","0.149018326948914","0.0523180130966045","0","0","0.117330767708692","","0.0996139896332442","0.0854442757933642","0","","0.0545425769400177","0","0","0.144526267411571","0.269111467112607","0","0.118768647822386","0.0677747395738309","0.0543224659058046","0.287556094645152"
"2790","","0","0","0","0.0607625625436045","0.128040682496938","0","0","0.068218335741329","0","0.167228185348062","0","0.0739169363724183","0","0.0887639562168113","0","0.0551535479713926","0.0574355085498144","0.0526373030924043","0.12293384775776","0.0376732751927778","0","0.0881364246742419","0.231981820587043","0.112142091377145","0.0939169700942845","0.0805576357694152","0.0685282822388326","0.203290102755899","0","0","0","0","","0","0.0387896779473549","0.0732050855133533","0.0586749692722702","0.201685121861645"
"2843","0.0733989707260446","0","0.0822825540850065","0","0","0","0","0.0723452698862335","0","0","0","0.0808481271249915","0","0","0","0.295585128078793","0.175107086226211","0.0513718805758621","0","0","0","0","0","0","0","0.0769890054915387","0","0","0","0.105386270819443","0.065968974975871","0.0524206776908603","0.0351823541392627","0","","0","0","","0"
"2864","0.0733989707260446","0","0","0","0","0","0.0849511728888671","0","0","0.157666662948952","0","0","0.117339498790322","0.0896856808851844","0","0","0","0","0","0.0696969404741374","0","0.094106471732417","0","0","0.127157179408546","0","0","0","0","0","0","0","0.163512805994083","0","0","","0","0","0.045737886478943"
"2902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2912","0.141548204180147","0.0593990659827829","0.286656331164953","0","0","0.126727410011709","0","0","0.118157623511774","0","0.0374442288601845","0.155913728662274","0","0","0.269051443584589","","","0","0.232748108534794","0","0.133902946303704","0","0.122125412426603","0","0.0554959428377848","0.0942918896293009","","0.0860023116544145","0.0765453884019815","0","0.0807951637726581","0.0642019561567526","0","0.0681115034524463","0.0996976024469833","0","0.0941809077512865","","0.0499041254564414"
"2936","0.276971088048379","0","0","0","0","0","0","0","0.266645074332347","0","","0.405584122016099","0","0","0","0","0.28443130499441","0","","0","","0","0.217521581821721","0.0811732612948975","0","0","0.0767287693631499","0","0","0","0","0","0","0","0","0","0.135809790156998","0.052480487948203","0"
"2948","0","0","0","0.122915776968382","0","0.0562297101251136","0.0822536194598423","0.0723452698862335","0","0.0508866966544491","0","0","0","0.12736208776925","0.0682169916859094","0.0444650726116657","0","0.0770578208637932","0","","0","0","0","0.113352290585753","0","0.211719765101731","0","0.14044118683542","0.14491155994063","0.0790397031145821","0","0.0786310165362904","0","0.11282686480003","0","0.0867363567156102","0","0","0.0984122625687065"
"2955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2958","0","0","0.0643391195705801","0.222945459642652","0.109061452310485","0","0.0960515338544264","0","0.236315247023548","0.138653338660747","0.214141000840061","","0.176895950261755","","0.0768718410241683","0","0.0608539191361667","0","0.130674619918979","0.115579300294224","0.196815548519108","0.106403133095664","","0.127733560895696","0.0554959428377848","0","0.111623934472204","0.0819999867511244","0.0528813264424594","0","0.0385175830246001","0","0.123252414977398","0.0681115034524463","0","0.10128624318528","0.1106756862706","0.0847636347674825","0.0665388339419218"
"2963","0","0.0702819226791484","0","","0.0622630986797856","0","0.0822536194598423","0","0","0","0","0.104374483309051","0","0.115783716153864","0","0","0","0","0","0.0899783632459812","0","0","0","0","0","0.0769890054915387","0","0","0","0.158079406229164","0.131937949951742","0.157262033072581","0","0","0","0","0","0","0"
"2966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0.0942918896293009","0","0.0860023116544145","0","0","0.0807951637726581","0.0642019561567526","0","0","0.0996976024469833","0","0","0.192825625388069","0"
"2969","0.0733989707260446","","0.0727281899585712","0","0.0568381727451478","0","0.0849511728888671","0","0","0.157666662948952","0","0","0.221053942909907","0.0896856808851844","0","0","0","0","0","0.0696969404741374","0","0.205012012258304","0","0","0.18709964863277","0","0","0.0641023383604644","0","0","0.060221159482964","0","0.163512805994083","0","0","","0.11954340405635","0","0.045737886478943"
"3027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3054","0","0","0","0.143534703886018","0.109061452310485","0","0.0960515338544264","0","0","0.138653338660747","0","0","0.176895950261755","","0","0","0","0","0","0.115579300294224","0","0.106403133095664","0","0","0","0","0","0.0819999867511244","0.0528813264424594","0","0.0385175830246001","0","0.123252414977398","0","0","0.10128624318528","0","0","0"
"3055","0.0733989707260446","0","0","0.0833269675791733","0.140697837522895","0","","0.122610622228491","0","0.157666662948952","0","0","0.117339498790322","0.168177687363986","0","0.100479091057365","0","0","0","0.130695002252273","0","0.231374868723876","0","0.0853818848394925","0.127157179408546","0","0","0.158679632927647","0.0511657977097264","0.178608446133822","0","0.118456616342213","0.163512805994083","0","0.137961224434499","","0","0","0.045737886478943"
"3058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3060","0","0.154323300306474","0","0","0","0.0548745782129733","0","0.105902631239185","0","0.0496603309771867","0","0","","0.13559200444897","0","0","0","0","0","0","0","0","0","0","0.0961217926089815","0","0","0","0","0","0","0","0.128754232391279","0","0","0.101575220215265","0","0","0"
"3062","0","0","0","0.122915776968382","0","0.0562297101251136","0.0822536194598423","0.0723452698862335","0","0.0508866966544491","0","0","0","0.12736208776925","0.0682169916859094","0.0444650726116657","0","0.0770578208637932","0","","0","0","0","0.113352290585753","0","0.211719765101731","0","0.14044118683542","0.14491155994063","0.0790397031145821","0","0.0786310165362904","0","0.11282686480003","0","0.0867363567156102","0","0","0.0984122625687065"
"3066","0","0.0702819226791484","0","","0.171324550990271","0.0562297101251136","0.260558772774111","0.0723452698862335","0","0.189540035315196","0","0.104374483309051","0.176895950261755","","0.0682169916859094","0.0444650726116657","0","0.0770578208637932","0","","0","0.106403133095664","0","0.113352290585753","0","0.28870877059327","0","0.222441173586545","0.19779288638309","0.237119109343746","0.170455532976342","0.235893049608871","0.123252414977398","0.11282686480003","0","0.18802259990089","0","0","0.0984122625687065"
