"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"1530","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1536","0.443769611524506","0.1467809904725","0","0.796492180241068","0.269164958775563","0","0.544976320703469","0.699588991792479","0.107097544874883","2.02024817796264","0.27865290423125","0","1.42088546543814","2.19776078939794","0.344864763618646","0.0955026017837972","0","0.408590309638093","0.36233388810685","0.7267510542109","0.40861786544211","1.28785466703764","0","1.10840136390399","1.85043874167222","0.809441458264789","0","1.05258600385488","1.06519296024983","0.28563525382145","0.0834062660063329","0.559299441351958","1.86765950034094","0.527254062683586","0","1.59484140719347","0","0.386383421526803","1.08419553831499"
"1545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1549","0","0","0","0","0","0","0","0","0.833879358779811","0","1.46088959946241","0","0","0","0","0","0","0.232152738602796","0.428867435083854","0","0","0","0.624926682343726","0","0","0","0.406183518569043","0","0","0","0","0","0","0","0","0","0.706774888089616","0","0"
"1566","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1586","0.144651148320779","0.766952460515857","0.0940771240647459","0.609995391292096","0.538880772830355","0.145479139232818","0.258899624859139","0.873721064644102","0.848630141037293","1.94062800342547","0.041506916174465","0","1.36843428482494","1.90164269221809","0.133907127900935","0","0.0939884259436166","0","0.446783313284221","0.379009048903143","0.03362758429715","1.14580370637032","0.0994604653140133","0.713591810063615","0.79907037820982","0.193569670496909","0.0417310892724898","0","0.188263494035143","0","0.0834062660063329","0","1.67455282416923","0.156496367040804","1.03821382830956","1.913811685695","0.0417320083646229","0.380926551824402",""
"1589","0.0935652245463167","0","0.14004537475827","0","0","0","0","0","0","0","0","0","0","0","0","0.431664412255023","0.185251275557115","0","0.0846804337106445","0","0","0.0835876674274448","0","0","0.0634059651966523","0.0931312511402812","0","0","0","0","0","0","0","0","0.019689203783713","0.0640779885576071","0","","0"
"1601","0","0","0","0.727203470488449","0","0","0","0","0","0.282939453141598","0","0.44905986807867","0","0","0","0.151712136798778","0","0.484507115142362","0","0.404789958829407","0","0","0.306122658020808","0","0.311983936357625","0.847752894247413","0","0","0","0.393558938142999","0.599756836883131","0","0","0.319077182905895","0","0","0.508638770266915","0","0"
"1606","0","0","0.536966454437154","0.522144145443933","0","0","0","0","0","0","0","0","0.586540334191686","0","0","0","0","0","0","0","0","0.372504581105298","0","0","0","0","0","0","0","0","0.113879125901068","0","0","0","0","0","0.278144749315781","0","0"
"1611","0","0","0","0","0.445297203535937","0.713983380634719","0","0","2.42021197902562","0","1.9060333517546","0.520947190875196","0","0","1.3048687946915","0.0891921947184009","0.237801053480871","0.232152738602796","0.632100475989401","0","1.5905726332882","0.374472750074953","1.62593433451151","1.41109114351083","0.366298035072228","0.20861400255423","1.36722661941634","0","0.265356148737108","0","0","0.3738899299614","0","0.93506071806632","0.039378407567426","0","1.75686565316876","0","0.369693109219101"
"1624","0.596570595273994","0.0980378250914652","0.214527659458245","0.916348602943259","0.255582784769812","0","1.42746102953434","0.267467995599989","0.107097544874883","0.411531583665934","0.27865290423125","0.602651638552402","0.318212278945701","0.580494810251214","0.344864763618646","0.429094718137838","0","1.22900050236722","0","0.214238830213759","0.40861786544211","0","0","0.587828434956811","0.395241920056801","0.61587178776788","0","1.8995553295974","0.901191829931771","0.769708386621546","0.732661797961849","0.94900912780672","0.217811763740818","0.527254062683586","0.969492065553437","0.529680221278515","0","0","0.647358248085541"
"1627","0","0.534430030104819","0","0","0.65063437464908","0","0.266177738667669","0.202610881516143","0","0.500466984494192","0","0","0.250214142929506","0.453991128910333","0.425293001024572","0","0","0.184518617790604","0","0","0","0","0","0.299150318017336","0","0","0","0.236142413259142","0","0","0","0","0.230576358454086","0","0.222908722724643","0","0","0","0"
"1646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1656","0.362220743177301","0","0.268694589136734","0.486127895885462","0.232384102745215","0","0","0","0","0","0.526610105922063","0.137399931778768","0","0","0","0.0954920133252267","0.161963737415444","0","0.665484530746848","0","0.10239426501853","0","0.21333275031161","0","0","0","0","0.331744827596385","0","0.304401680665427","0","0.224603422167324","0","0","0","0","0","0.36216894820199","0"
"1661","0","0.42302962168597","0.25339700018062","0","0","0.635980510385674","0","0","0","0","0","0","0.319717406487346","0","0.309308123860908","0","0","0","0","0","0","0","0.351741096608162","0","0.249404902147533","0","0.227838973466115","0","0","0","0","0.365905595101834","0.597689795799509","0.604592554023078","0.217818896013408","0.768315222303541","0","0.342638443025899","0.921744780346275"
"1680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.022875666289353","0","0","0","0.203233040905547","0","0.366510487275367","0.374472750074953","0.34591400992637","0","0","0.20861400255423","0.242386649312851","0","0","0","0","0","0","0","0.039378407567426","0","0","0","0"
